word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,key_instruct.started,instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,fixation.started,fixationCross.started,fixation.stopped,trial.started,Stimulus.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,fixationCross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
blue,yellow,0,y,1,6,22,14,49.02440260001458,,,,,,,,49.01004179997835,49.02440260001458,50.20885779999662,50.208897799951956,50.22385970002506,50.72429259994533,51.492207299917936,y,1,0.7597159999422729,None,50.22385970002506,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
yellow,green,0,g,1,7,23,9,51.50712049996946,,,,,,,,51.493294399930164,51.50712049996946,52.691698599956,52.691727999947034,52.70689299993683,53.20724889996927,53.442080799955875,g,1,0.22169009991921484,None,52.70689299993683,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
red,yellow,0,y,1,8,24,4,53.45689529995434,,,,,,,,53.44319629995152,53.45689529995434,54.64128819992766,54.64132299995981,54.65646480000578,55.15679799998179,55.574968199944124,y,1,0.41242600011173636,None,54.65646480000578,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
green,red,0,r,1,9,25,7,55.59019649995025,,,,,,,,55.5759340999648,55.59019649995025,56.77492050000001,56.77495559991803,56.78984939993825,57.289747299975716,57.74159029999282,r,1,0.44400959997437894,None,56.78984939993825,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
yellow,blue,0,b,1,10,26,5,57.75646559998859,,,,,,,,57.74247319996357,57.75646559998859,58.94144909991883,58.9414879999822,58.95605759997852,59.45634659996722,59.97381959995255,b,1,0.5133690000511706,None,58.95605759997852,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
yellow,red,0,r,1,11,27,13,59.989447699976154,,,,,,,,59.974724899977446,59.989447699976154,61.173842899966985,61.17386659991462,61.189294099924155,61.68942089995835,62.04088310000952,r,1,0.33752339996863157,None,61.189294099924155,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
blue,red,0,r,1,12,28,10,62.05579759995453,,,,,,,,62.04196760000195,62.05579759995453,63.24064480001107,63.24067690002266,63.25548509997316,63.75564539991319,64.07422069995664,r,1,0.311287899967283,None,63.25548509997316,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
green,blue,0,b,1,13,29,15,64.08889100002125,,,,,,,,64.07502089999616,64.08889100002125,65.27316769992467,65.27319620002527,65.28842939995229,65.78854430001229,66.47300220001489,b,1,0.6735661999555305,None,65.28842939995229,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
green,green,1,g,1,14,30,3,66.4880938999122,,,,,,,,66.47407170000952,66.4880938999122,67.67336559994146,67.67339769995306,67.68842859996948,68.18823919992428,68.40736039995681,g,1,0.2017882999498397,None,67.68842859996948,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
yellow,yellow,1,y,1,15,31,1,68.42153699998744,,,,,,,,68.4084991000127,68.42153699998744,69.60675679997075,69.60678509995341,69.62129669997375,70.12159039999824,70.55896419996861,y,1,0.4344366999575868,None,69.62129669997375,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
